Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type,year_diff
The Shakedown,2024-08-08,,6.7,331.0,"Crime, Drama",1960,movie,64
La Caída,2022-11-11,,7.0,122.0,Drama,1959,movie,63
Flo & Joan: Alive on Stage,2019-08-19,TV-G,5.6,321.0,Comedy,1980,series,39
For Love & Life: No Ordinary Campaign,2024-05-28,PG-13,6.6,39393.0,"Drama, Romance, Sport",1999,movie,25
Lano & Woodley: Fly,2020-05-01,,8.8,830.0,Comedy,1997,series,23
Frida,2024-03-14,R,7.3,100861.0,"Biography, Drama, Romance",2002,movie,22
War of the Worlds,2025-07-30,PG-13,6.6,502091.0,"Action, Adventure, Sci-Fi",2005,movie,20
"Red, White & Royal Blue",2023-08-11,PG-13,4.8,78378.0,Comedy,2003,movie,20
Water & Garri,2024-05-10,PG-13,7.6,15660.0,Drama,2005,movie,19
Libre,2024-11-01,PG,5.9,101384.0,"Comedy, Family, Sport",2006,movie,18
Robots,2023-07-17,PG,6.4,173700.0,"Animation, Adventure, Comedy",2005,movie,18
Cold Case,2021-06-30,TV-14,7.7,34644.0,"Crime, Drama, Mystery",2003,series,18
Picture This,2025-03-06,PG-13,5.1,11378.0,"Comedy, Drama, Romance",2008,movie,17
200 Pounds Beauty,2023-06-22,Not Rated,6.7,9175.0,"Comedy, Drama, Music",2006,movie,17
Tomorrow Is Today,2022-12-02,PG-13,7.1,260.0,"Drama, Romance",2006,movie,16
Enemies,2025-08-29,R,6.9,333880.0,"Biography, Crime, Drama",2009,movie,16
Duplicity,2025-03-20,PG-13,6.1,53429.0,"Comedy, Crime, Romance",2009,movie,16
Unstoppable,2025-01-16,PG-13,6.8,218128.0,"Action, Thriller",2010,movie,15
Brothers,2024-10-17,R,7.1,170197.0,"Drama, Thriller, War",2009,movie,15
Scandal Makers,2023-01-19,,7.2,4475.0,"Comedy, Drama, Music",2008,movie,15
The Red Virgin,2024-12-05,,7.3,188.0,"Short, Drama",2011,movie,13
Stolen,2025-06-04,R,5.5,47223.0,"Action, Crime, Thriller",2012,movie,13
The Tiger,2026-01-02,Not Rated,7.2,7416.0,"Action, Adventure, Drama",2015,movie,11
Law,2020-07-17,R,7.4,343332.0,"Action, Crime, Drama",2009,movie,11
V,2020-09-05,TV-14,6.8,60877.0,"Drama, Sci-Fi, Thriller",2009,series,11
Zeta,2026-03-20,,4.8,352.0,Drama,2016,movie,10
Follow,2025-07-18,TV-MA,4.7,844.0,"Horror, Thriller",2015,movie,10
Summer House,2026-06-06,TV-14,6.6,1159.0,Reality-TV,2017,series,9
Goodnight Mommy,2022-09-16,R,6.7,63611.0,"Horror, Mystery, Thriller",2014,movie,8
Finding Joy,2025-11-05,TV-14,6.3,751.0,Comedy,2018,series,7
System,2026-05-22,,7.8,16068.0,Drama,2019,movie,7
Cinderella,2021-09-03,PG,6.9,204139.0,"Adventure, Drama, Family",2015,movie,6
Perfect Strangers,2022-10-20,,7.7,76299.0,"Comedy, Drama, Thriller",2016,movie,6
Home,2021-08-19,PG,6.5,120478.0,"Animation, Adventure, Comedy",2015,movie,6
Host,2025-10-23,Not Rated,6.5,45026.0,"Horror, Mystery",2020,movie,5
The Tiger Mafia,2021-08-14,,7.4,61.0,Documentary,2016,movie,5
Vengeance,2026-04-22,R,6.8,41397.0,"Comedy, Music, Mystery",2022,movie,4
Homestay,2022-02-11,,7.1,1671.0,"Drama, Fantasy, Thriller",2018,movie,4
Sara's,2021-07-05,TV-MA,5.9,2942.0,"Adventure, Drama, Mystery",2018,movie,3
Burning,2021-11-25,Not Rated,7.4,85033.0,"Drama, Mystery, Thriller",2018,movie,3
Man on the Run,2026-02-27,,6.4,871.0,Documentary,2023,movie,3
Emergency,2022-05-20,,5.2,11245.0,"Biography, Drama, History",2025,movie,3
1992,2025-04-12,R,5.7,3805.0,"Action, Drama, Thriller",2022,movie,3
Sunny,2021-09-23,TV-MA,6.5,11439.0,"Comedy, Drama, Mystery",2024,series,3
The Lie,2020-10-06,R,5.8,22215.0,"Crime, Drama, Mystery",2018,movie,2
Kanan Gill & Kenny Sebastian: Sketchy Behaviour,2019-02-14,TV-MA,8.0,1612.0,Comedy,2017,movie,2
Our Friend,2021-03-18,R,7.3,16090.0,"Drama, Romance",2019,movie,2
Cirque Du Soleil: Without a Net,2024-07-25,PG-13,6.6,287.0,Documentary,2022,movie,2
Family Pack,2022-02-17,TV-MA,5.5,10535.0,"Adventure, Comedy, Fantasy",2024,movie,2
The Seed,2023-05-03,,4.8,2717.0,"Comedy, Horror, Sci-Fi",2021,movie,2
Sentinelle,2023-09-08,TV-MA,4.8,8999.0,"Action, Drama, Thriller",2021,movie,2
Run Sweetheart Run,2022-10-28,R,5.5,8107.0,"Horror, Thriller",2020,movie,2
Sound of Metal,2020-12-04,R,7.7,183644.0,"Drama, Music",2019,movie,1
Black Box,2020-10-06,,7.2,19038.0,"Drama, Mystery, Thriller",2021,movie,1
Get Duked!,2020-08-28,R,6.2,8970.0,"Comedy, Horror, Music",2019,movie,1
Blow the Man Down,2020-03-20,R,6.4,12564.0,"Comedy, Crime, Drama",2019,movie,1
Troop Zero,2020-01-17,PG,6.9,12891.0,"Comedy, Drama, Family",2019,movie,1
Peterloo,2019-04-05,PG-13,6.5,5680.0,"Drama, History",2018,movie,1
Guns Akimbo,2020-03-23,R,6.3,76431.0,"Action, Comedy, Crime",2019,movie,1
Radioactive,2020-07-24,PG-13,6.3,23792.0,"Biography, Drama, Romance",2019,movie,1
Selah and the Spades,2020-04-17,R,5.1,1385.0,Drama,2019,movie,1
The Vast of Night,2020-05-29,PG-13,6.7,48305.0,"Drama, Mystery, Sci-Fi",2019,movie,1
7500,2020-06-18,R,6.3,34203.0,"Action, Drama, Thriller",2019,movie,1
One Night in Miami...,2021-01-15,R,7.1,35125.0,Drama,2020,movie,1
The Boys in the Boat,2024-03-29,PG-13,7.0,29396.0,"Biography, Drama, History",2023,movie,1
Trunk – Locked in,2024-01-26,,5.3,1831.0,"Drama, Thriller",2023,movie,1
Sirens,2024-03-15,TV-MA,6.7,35443.0,"Comedy, Drama",2025,series,1
Foe,2024-01-05,R,5.4,12670.0,"Drama, Romance, Sci-Fi",2023,movie,1
My Fault,2023-06-08,R,4.2,7120.0,"Crime, Drama, Thriller",2024,movie,1
One Night Off,2022-02-21,,5.4,1043.0,Comedy,2021,movie,1
Master,2022-03-18,Not Rated,7.4,85662.0,"Action, Crime, Drama",2021,movie,1
Flashback,2021-11-11,R,5.4,7654.0,"Drama, Mystery, Thriller",2020,movie,1
The Tender Bar,2022-01-07,R,6.7,36714.0,"Biography, Drama, Romance",2021,movie,1
Drishyam 2,2021-02-19,Not Rated,8.2,50543.0,"Crime, Drama, Mystery",2022,movie,1
Landscape with Invisible Hand,2024-01-09,R,5.9,4189.0,"Comedy, Drama, Sci-Fi",2023,movie,1
The Mehta Boys,2025-02-07,,7.1,3010.0,Drama,2024,movie,1
The Calendar Killer,2025-01-16,,5.4,4475.0,"Crime, Thriller",2024,movie,1
Broken Rage,2025-02-13,,6.1,1755.0,"Comedy, Crime, Drama",2024,movie,1
The Boy from Medellín,2021-05-07,R,6.1,683.0,"Documentary, Biography, Music",2020,movie,1
