Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type,is_book_adaptation,book_title,book_author,search_key,year_diff,keep
Rebecca,21/10/2020,PG-13,6.1,50574,"Drama, Mystery, Romance, Thriller",2020,movie,y,rebecca,daphne du maurier,rebecca,0,y
The Wages of Fear,29/03/2024,TV-MA,4.6,4565,"Action, Adventure, Drama, Thriller",2024,movie,y,le salaire de la peur,georges arnaud,le salaire de la peur,0,y
Dangerous Liaisons,08/07/2022,TV-MA,4.2,2745,"Drama, Romance",2022,movie,y,les liaisons dangereuses,pierre choderlos de laclos,les liaisons dangereuses,0,y
City Hunter,25/04/2024,TV-MA,6.3,6216,"Action, Comedy, Crime, Mystery, Romance, Sci-Fi",2024,movie,y,city hunter,tsukasa hojo,city hunter,0,y
Amateur,06/04/2018,TV-MA,5.9,5605,"Comedy, Crime, Drama",2018,movie,y,amateur,walter dean myers,amateur,0,y
Scoop,05/04/2024,TV-14,6.5,22205,"Biography, Drama",2024,movie,y,scoops: behind the scenes of the bbcâ€™s most shocking interviews,sam mcalister,scoops: behind the scenes of the bbcâ€™s most shocking interviews,0,y
White Noise,30/12/2022,R,5.7,47823,"Comedy,Drama, Horror, Mystery",2022,movie,y,white noise,don delillo,white noise,0,y
Death Note,25/08/2017,TV-MA,4.7,96365,"Crime, Drama, Fantasy, Horror, Mystery, Thriller",2017,movie,y,death note,tsugumi ohba & takeshi obata,death note,0,y
Ruth & Boaz,26/09/2025,TV-14,6,2599,"Drama, Romance",2025,movie,y,ruth and boaz: strangers in the land,terri l. fivash,ruth and boaz: strangers in the land,0,y
Love & Gelato,22/06/2022,TV-15,5.2,7435,"Comedy, Drama, Romance",2022,movie,y,love & gelato,jenna evans welch,love & gelato,0,y
The Girl on the Train,26/02/2021,R,6.5,206094,"Crime, Drama, Mystery",2016,movie,y,the girl on the train,paula hawkins,the girl on the train,5,y
Inheritance,19/06/2024,TV-MA,5.6,23241,"Drama, Mystery, Thriller",2020,movie,y,inheritance,diane mckinney-whetstone,inheritance,4,n
The Stranger,19/10/2022,TV-MA,6.6,30769,"Crime, Drama, Thriller",2022,movie,y,the stranger,harlan coben,the stranger,0,y
Monster,07/05/2021,,6.5,7413,"Crime, Drama",2021,movie,y,monster,walter dean myers,monster,1,y
Angela's Christmas,30/11/2018,G,7,3552,"Animation, Short, Adventure",2017,movie,y,angela's christmas,frank mccourt,angela's christmas,1,y
24 Hours with Gaspar,14/03/2024,TV-MA,4.8,564,"Action, Crime, Drama",2023,movie,y,24 jam bersama gaspar,sabda armandio,24 jam bersama gaspar,1,y
The Pale Blue Eye,06/01/2023,R,6.6,139243,"Crime, Horror, Mystery",2022,movie,y,the pale blue eye,louis bayard,the pale blue eye,1,y
Society of the Snow,04/01/2024,R,7.8,170929,"Adventure, Biography, Drama",2023,movie,y,la sociedad de la nieve,pablo vierci,la sociedad de la nieve,1,y
