Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type,is_book_adaptation,book_title,book_author,search_key,year_diff
Rebecca,21/10/2020,Approved,8.1,160202.0,"Drama, Mystery, Romance",1940,movie,y,rebecca,daphne du maurier,rebecca,80
The Wages of Fear,29/03/2024,Not Rated,8.1,73002.0,"Adventure, Drama, Thriller",1953,movie,y,le salaire de la peur,georges arnaud,le salaire de la peur,71
Dangerous Liaisons,08/07/2022,R,7.5,79291.0,"Drama, Romance",1988,movie,y,les liaisons dangereuses,pierre choderlos de laclos,les liaisons dangereuses,34
City Hunter,25/04/2024,PG-13,6.3,13603.0,"Action, Comedy, Crime",1993,movie,y,city hunter,tsukasa hojo,city hunter,31
Amateur,06/04/2018,R,6.8,7284.0,"Comedy, Crime, Drama",1994,movie,y,amateur,walter dean myers,amateur,24
Scoop,05/04/2024,PG-13,6.6,88542.0,"Comedy, Crime, Fantasy",2006,movie,y,scoops: behind the scenes of the bbc’s most shocking interviews,sam mcalister,scoops: behind the scenes of the bbc’s most shocking interviews,18
White Noise,30/12/2022,PG-13,5.5,51773.0,"Drama, Horror, Mystery",2005,movie,y,white noise,don delillo,white noise,17
Death Note,25/08/2017,TV-14,8.9,466043.0,"Animation, Crime, Drama",2006,series,y,death note,tsugumi ohba & takeshi obata,death note,11
Ruth & Boaz,26/09/2025,N/A,6.4,273.0,"Biography, Romance",2018,movie,y,ruth and boaz: strangers in the land,terri l. fivash,ruth and boaz: strangers in the land,7
Love & Gelato,22/06/2022,TV-MA,6.1,73447.0,"Drama, Romance",2015,movie,y,love & gelato,jenna evans welch,love & gelato,7
The Girl on the Train,26/02/2021,R,6.5,206094.0,"Crime, Drama, Mystery",2016,movie,y,the girl on the train,paula hawkins,the girl on the train,5
Inheritance,19/06/2024,TV-MA,5.6,23241.0,"Drama, Mystery, Thriller",2020,movie,y,inheritance,diane mckinney-whetstone,inheritance,4
The Stranger,19/10/2022,TV-MA,7.2,68760.0,"Crime, Drama, Mystery",2020,series,y,the stranger,harlan coben,the stranger,2
Monster,07/05/2021,TV-MA,7.7,223179.0,"Biography, Crime, Drama",2022,series,y,monster,walter dean myers,monster,1
Angela's Christmas,30/11/2018,G,7.0,3552.0,"Animation, Short, Adventure",2017,movie,y,angela's christmas,frank mccourt,angela's christmas,1
24 Hours with Gaspar,14/03/2024,TV-MA,4.8,564.0,"Action, Crime, Drama",2023,movie,y,24 jam bersama gaspar,sabda armandio,24 jam bersama gaspar,1
The Pale Blue Eye,06/01/2023,R,6.6,139243.0,"Crime, Horror, Mystery",2022,movie,y,the pale blue eye,louis bayard,the pale blue eye,1
Society of the Snow,04/01/2024,R,7.8,170929.0,"Adventure, Biography, Drama",2023,movie,y,la sociedad de la nieve,pablo vierci,la sociedad de la nieve,1
